Current, Voltage, Seconds
-2.19784,3.7695,06/16/2017 16:06:19.002590700
-2.19784,3.7692,06/16/2017 16:06:20.002108960
-2.19784,3.76889,06/16/2017 16:06:21.001644360
-2.19784,3.76858,06/16/2017 16:06:22.001201980
-2.19784,3.76828,06/16/2017 16:06:23.000736220
-2.19784,3.76797,06/16/2017 16:06:24.000267940
-2.19784,3.76766,06/16/2017 16:06:24.999782420
-2.19784,3.76736,06/16/2017 16:06:25.999283660
-2.19784,3.76704,06/16/2017 16:06:26.998808640
-2.19784,3.76673,06/16/2017 16:06:27.998338120
-2.19784,3.76644,06/16/2017 16:06:28.997906700
-2.19784,3.76612,06/16/2017 16:06:29.997431620
-2.19784,3.76582,06/16/2017 16:06:30.997279240
-2.19784,3.76551,06/16/2017 16:06:31.996791320
-2.19785,3.76521,06/16/2017 16:06:32.996314380
-2.19784,3.7649,06/16/2017 16:06:33.995843160
-2.19784,3.7646,06/16/2017 16:06:34.995363080
-2.19784,3.76429,06/16/2017 16:06:35.994866120
-2.19784,3.76399,06/16/2017 16:06:36.994372060
-2.19784,3.76367,06/16/2017 16:06:37.993859380
-2.19784,3.76337,06/16/2017 16:06:38.993349460
-2.19784,3.76307,06/16/2017 16:06:39.992841180
-2.19785,3.76276,06/16/2017 16:06:40.992338960
-2.19784,3.76246,06/16/2017 16:06:41.991857940
-2.19784,3.76215,06/16/2017 16:06:42.991395980
-2.19784,3.76184,06/16/2017 16:06:43.990889580
-2.19784,3.76154,06/16/2017 16:06:44.990415600
