Current, Voltage, Seconds
-2.19784,3.81553,06/19/2017 14:23:06.932732100
-2.19783,3.81521,06/19/2017 14:23:07.932205100
-2.19784,3.81488,06/19/2017 14:23:08.931652300
-2.19784,3.81454,06/19/2017 14:23:09.931136700
-2.19784,3.81422,06/19/2017 14:23:10.930613320
-2.19783,3.8139,06/19/2017 14:23:11.930131400
-2.19783,3.81357,06/19/2017 14:23:12.929617980
-2.19783,3.81324,06/19/2017 14:23:13.929099140
-2.19783,3.81292,06/19/2017 14:23:14.928715240
-2.19783,3.8126,06/19/2017 14:23:15.928178580
-2.19783,3.81226,06/19/2017 14:23:16.927612360
-2.19783,3.81194,06/19/2017 14:23:17.927069880
-2.19783,3.81162,06/19/2017 14:23:18.926547420
-2.19783,3.8113,06/19/2017 14:23:19.925997180
-2.19783,3.81097,06/19/2017 14:23:20.925447500
-2.19783,3.81065,06/19/2017 14:23:21.924906760
-2.19784,3.81031,06/19/2017 14:23:22.924388060
-2.19783,3.80999,06/19/2017 14:23:23.923854580
-2.19784,3.80967,06/19/2017 14:23:24.923321040
-2.19783,3.80934,06/19/2017 14:23:25.922764940
-2.19784,3.80902,06/19/2017 14:23:26.922182280
-2.19784,3.8087,06/19/2017 14:23:27.921616860
-2.19784,3.80837,06/19/2017 14:23:28.921103620
-2.19784,3.80805,06/19/2017 14:23:29.920600880
-2.19783,3.80772,06/19/2017 14:23:30.920075260
-2.19783,3.8074,06/19/2017 14:23:31.919547640
-2.19784,3.80708,06/19/2017 14:23:32.919027980
-2.19784,3.80676,06/19/2017 14:23:33.918805260
-2.19784,3.80643,06/19/2017 14:23:34.918291580
-2.19783,3.80611,06/19/2017 14:23:35.917796180
-2.19784,3.80578,06/19/2017 14:23:36.917285140
-2.19784,3.80546,06/19/2017 14:23:37.916759800
-2.19783,3.80514,06/19/2017 14:23:38.916228320
-2.19783,3.80482,06/19/2017 14:23:39.915692320
-2.19783,3.80449,06/19/2017 14:23:40.915146780
-2.19783,3.80417,06/19/2017 14:23:41.914645760
-2.19783,3.80385,06/19/2017 14:23:42.914119680
-2.19783,3.80352,06/19/2017 14:23:43.913588480
-2.19783,3.80321,06/19/2017 14:23:44.913065320
-2.19783,3.80289,06/19/2017 14:23:45.912551820
-2.19783,3.80256,06/19/2017 14:23:46.912016360
-2.19783,3.80224,06/19/2017 14:23:47.911534880
-2.19783,3.80192,06/19/2017 14:23:48.910996520
-2.19783,3.80159,06/19/2017 14:23:49.910462820
-2.19783,3.80127,06/19/2017 14:23:50.909921560
-2.19783,3.80095,06/19/2017 14:23:51.909377520
-2.19783,3.80063,06/19/2017 14:23:52.908834540
-2.19783,3.80031,06/19/2017 14:23:53.908334660
-2.19783,3.79999,06/19/2017 14:23:54.907820040
-2.19783,3.79967,06/19/2017 14:23:55.907301280
-2.19783,3.79936,06/19/2017 14:23:56.906779160
-2.19783,3.79903,06/19/2017 14:23:57.906239300
-2.19783,3.79871,06/19/2017 14:23:58.905695200
-2.19783,3.79839,06/19/2017 14:23:59.905158600
-2.19784,3.79807,06/19/2017 14:24:00.904614540
-2.19783,3.79775,06/19/2017 14:24:01.904067100
-2.19783,3.79743,06/19/2017 14:24:02.903524620
-2.19783,3.79711,06/19/2017 14:24:03.902988260
-2.19783,3.79679,06/19/2017 14:24:04.902508660
-2.19784,3.79647,06/19/2017 14:24:05.902044740
-2.19784,3.79615,06/19/2017 14:24:06.901538180
-2.19783,3.79583,06/19/2017 14:24:07.901047560
-2.19783,3.79552,06/19/2017 14:24:08.900519600
-2.19784,3.7952,06/19/2017 14:24:09.899945280
-2.19783,3.79487,06/19/2017 14:24:10.899393480
-2.19784,3.79456,06/19/2017 14:24:11.898872760
-2.19783,3.79424,06/19/2017 14:24:12.898337820
