nIteration:	Current:	Voltage:	Time:
268	1.1000728607	3.8054232597	06/15/2017 05:03:33.989201600
269	1.1000736952	3.8055167198	06/15/2017 05:03:34.988552200
270	1.1000664234	3.8056147099	06/15/2017 05:03:35.987875980
271	1.1000717878	3.8057169914	06/15/2017 05:03:36.987237180
272	1.1000730991	3.8058149815	06/15/2017 05:03:37.986585380
273	1.1000691652	3.8059120178	06/15/2017 05:03:38.985910900
274	1.1000678539	3.8060126305	06/15/2017 05:03:39.985290320
275	1.1000733376	3.8061151505	06/15/2017 05:03:40.984663960
276	1.1000636816	3.8062150478	06/15/2017 05:03:41.984023440
277	1.1000648737	3.8063120842	06/15/2017 05:03:42.983407640
278	1.1000701189	3.8064165115	06/15/2017 05:03:43.982842240
279	1.1000756025	3.8065207005	06/15/2017 05:03:44.982183080
280	1.1000727415	3.8066103458	06/15/2017 05:03:45.981549260
281	1.1000782251	3.8067164421	06/15/2017 05:03:46.980892980
282	1.1000701189	3.8068118095	06/15/2017 05:03:47.980202960
283	1.1000702381	3.8069109917	06/15/2017 05:03:48.979590040
284	1.1000729799	3.8070111275	06/15/2017 05:03:49.978931680
285	1.1000766754	3.8071112633	06/15/2017 05:03:50.978235620
286	1.1000730991	3.8072059155	06/15/2017 05:03:51.977604780
287	1.1000725031	3.8073093891	06/15/2017 05:03:52.976963720
288	1.100073576	3.807407856	06/15/2017 05:03:53.976281180
289	1.1000679731	3.8075027466	06/15/2017 05:03:54.975642080
290	1.100066185	3.807600975	06/15/2017 05:03:55.974971380
291	1.1000692844	3.807705164	06/15/2017 05:03:56.974291120
292	1.1000754833	3.807798624	06/15/2017 05:03:57.973680660
293	1.1000696421	3.8078966141	06/15/2017 05:03:58.973050320
294	1.1000767946	3.8080077171	06/15/2017 05:03:59.972387960
295	1.1000720263	3.8080954552	06/15/2017 05:04:00.971746880
296	1.1000670195	3.8081977367	06/15/2017 05:04:01.971079280
297	1.1000730991	3.8082952499	06/15/2017 05:04:02.970396700
298	1.1000708342	3.8083891869	06/15/2017 05:04:03.969763660
299	1.100071311	3.8084938526	06/15/2017 05:04:04.969110840
300	1.1000703573	3.8085868359	06/15/2017 05:04:05.968471000
301	1.1000688076	3.8086833954	06/15/2017 05:04:06.967853640
302	1.1000698805	3.8087861538	06/15/2017 05:04:07.967224860
303	1.1000659466	3.8088862896	06/15/2017 05:04:08.966570780
304	1.1000729799	3.8089799881	06/15/2017 05:04:09.965940440
305	1.1000640392	3.8090796471	06/15/2017 05:04:10.965284220
306	1.100074172	3.8091814518	06/15/2017 05:04:11.964631660
307	1.1000679731	3.8092706203	06/15/2017 05:04:12.964043440
308	1.1000708342	3.8093788624	06/15/2017 05:04:13.963387940
309	1.1000674963	3.8094773293	06/15/2017 05:04:14.962733520
310	1.1000688076	3.8095700741	06/15/2017 05:04:15.962103220
311	1.1000747681	3.8096706867	06/15/2017 05:04:16.961640220
312	1.1000679731	3.8097696304	06/15/2017 05:04:17.960985860
313	1.1000708342	3.8098623753	06/15/2017 05:04:18.960374480
314	1.1000683308	3.8099668026	06/15/2017 05:04:19.959717700
315	1.1000734568	3.8100690842	06/15/2017 05:04:20.959028000
316	1.1000767946	3.8101665974	06/15/2017 05:04:21.958396020
317	1.1000733376	3.8102667332	06/15/2017 05:04:22.957744420
318	1.1000725031	3.8103609085	06/15/2017 05:04:23.957061220
319	1.1000710726	3.8104555607	06/15/2017 05:04:24.956401840
320	1.1000747681	3.8105635643	06/15/2017 05:04:25.955726460
321	1.1000702381	3.8106575012	06/15/2017 05:04:26.955052340
322	1.1000789404	3.8107571602	06/15/2017 05:04:27.954470620
323	1.1000759602	3.8108539581	06/15/2017 05:04:28.953808220
324	1.1000710726	3.8109483719	06/15/2017 05:04:29.953138580
325	1.1000653505	3.8110456467	06/15/2017 05:04:30.952510740
326	1.1000695229	3.8111512661	06/15/2017 05:04:31.951867140
327	1.1000685692	3.8112492561	06/15/2017 05:04:32.951242420
328	1.1000647545	3.8113408089	06/15/2017 05:04:33.950582420
329	1.1000624895	3.8114442825	06/15/2017 05:04:34.949923380
330	1.1000635624	3.8115441799	06/15/2017 05:04:35.949244180
331	1.1000670195	3.8116345406	06/15/2017 05:04:36.948628440
332	1.1000709534	3.8117408752	06/15/2017 05:04:37.947972460
333	1.1000725031	3.8118419647	06/15/2017 05:04:38.947300640
334	1.1000729799	3.8119416237	06/15/2017 05:04:39.946664620
335	1.1000761986	3.8120326996	06/15/2017 05:04:40.946020100
336	1.100069046	3.8121380806	06/15/2017 05:04:41.945370840
337	1.1000779867	3.8122344017	06/15/2017 05:04:42.944775040
338	1.1000710726	3.812330246	06/15/2017 05:04:43.944157880
339	1.1000776291	3.8124256134	06/15/2017 05:04:44.943492840
340	1.1000709534	3.8125252724	06/15/2017 05:04:45.942854680
341	1.1000726223	3.8126242161	06/15/2017 05:04:46.942218140
342	1.1000722647	3.8127205372	06/15/2017 05:04:47.941544500
343	1.1000670195	3.812820673	06/15/2017 05:04:48.940890220
344	1.100075841	3.812923193	06/15/2017 05:04:49.940237200
345	1.1000730991	3.8130221367	06/15/2017 05:04:50.939561380
346	1.1000686884	3.8131136894	06/15/2017 05:04:51.938893820
347	1.1000658274	3.8132126331	06/15/2017 05:04:52.938225160
348	1.10006845	3.8133172989	06/15/2017 05:04:53.937520380
349	1.1000683308	3.8134047985	06/15/2017 05:04:54.936885180
350	1.1000720263	3.8135137558	06/15/2017 05:04:55.936246160
351	1.1000676155	3.8136041164	06/15/2017 05:04:56.935635960
352	1.1000703573	3.8137021065	06/15/2017 05:04:57.935017500
353	1.1000714302	3.8138000965	06/15/2017 05:04:58.934375220
354	1.1000709534	3.8139050007	06/15/2017 05:04:59.933728080
355	1.1000733376	3.8140003681	06/15/2017 05:05:00.933126840
356	1.1000651121	3.814095974	06/15/2017 05:05:01.932489600
357	1.1000725031	3.8141946793	06/15/2017 05:05:02.931849200
358	1.1000750065	3.814291954	06/15/2017 05:05:03.931223260
359	1.1000766754	3.8143889904	06/15/2017 05:05:04.930577960
360	1.1000746489	3.8144862652	06/15/2017 05:05:05.929910700
361	1.1000776291	3.8145837784	06/15/2017 05:05:06.929278000
362	1.1000761986	3.8146846294	06/15/2017 05:05:07.928626080
363	1.1000760794	3.8147835732	06/15/2017 05:05:08.927966720
364	1.100077033	3.814873457	06/15/2017 05:05:09.927331380
365	1.1000791788	3.8149731159	06/15/2017 05:05:10.926696640
366	1.1000784636	3.8150770664	06/15/2017 05:05:11.926086260
367	1.1000794172	3.8151693344	06/15/2017 05:05:12.925471740
368	1.1000698805	3.8152673244	06/15/2017 05:05:13.924844000
369	1.1000795364	3.8153703213	06/15/2017 05:05:14.924200860
370	1.1000784636	3.8154616356	06/15/2017 05:05:15.923575960
371	1.1000760794	3.8155612946	06/15/2017 05:05:16.922951740
372	1.1000791788	3.8156609535	06/15/2017 05:05:17.922275500
373	1.1000784636	3.8157610893	06/15/2017 05:05:18.921658460
374	1.1000730991	3.815849781	06/15/2017 05:05:19.921023700
375	1.1000766754	3.8159537315	06/15/2017 05:05:20.920386820
376	1.1000791788	3.8160557747	06/15/2017 05:05:21.919822100
377	1.1000694036	3.8161449432	06/15/2017 05:05:22.919217480
378	1.1000689268	3.8162481785	06/15/2017 05:05:23.918579960
379	1.1000733376	3.8163456917	06/15/2017 05:05:24.917943740
380	1.1000728607	3.8164420128	06/15/2017 05:05:25.917299900
381	1.1000689268	3.8165411949	06/15/2017 05:05:26.916672120
382	1.1000680923	3.8166325092	06/15/2017 05:05:27.916032740
383	1.1000704765	3.8167388439	06/15/2017 05:05:28.915377760
384	1.1000721455	3.8168327808	06/15/2017 05:05:29.914751660
385	1.1000722647	3.8169310093	06/15/2017 05:05:30.914097260
386	1.1000733376	3.8170311451	06/15/2017 05:05:31.913461220
387	1.1000822783	3.8171317577	06/15/2017 05:05:32.912791480
388	1.1000769138	3.817224741	06/15/2017 05:05:33.912134160
389	1.100076437	3.817322731	06/15/2017 05:05:34.911458880
390	1.1000753641	3.817425251	06/15/2017 05:05:35.910773680
391	1.1000767946	3.8175210953	06/15/2017 05:05:36.910141580
392	1.1000773907	3.8176178932	06/15/2017 05:05:37.909493600
393	1.1000769138	3.8177256584	06/15/2017 05:05:38.908799380
394	1.1000716686	3.817817688	06/15/2017 05:05:39.908138760
395	1.1000745296	3.8179166317	06/15/2017 05:05:40.907451840
396	1.1000676155	3.8180170059	06/15/2017 05:05:41.906831620
397	1.1000747681	3.8181164265	06/15/2017 05:05:42.906190180
398	1.1000709534	3.8182106018	06/15/2017 05:05:43.905546560
399	1.1000757217	3.8183047771	06/15/2017 05:05:44.904896700
400	1.1000709534	3.8184039593	06/15/2017 05:05:45.904269840
401	1.1000721455	3.8185040951	06/15/2017 05:05:46.903651900
402	1.1000695229	3.8186004162	06/15/2017 05:05:47.903015940
403	1.1000725031	3.818696022	06/15/2017 05:05:48.902395340
404	1.1000760794	3.8187997341	06/15/2017 05:05:49.901765720
405	1.1000757217	3.8188970089	06/15/2017 05:05:50.901151740
406	1.1000709534	3.8189873695	06/15/2017 05:05:51.900519380
407	1.1000730991	3.8190941811	06/15/2017 05:05:52.899875860
408	1.1000730991	3.8191952705	06/15/2017 05:05:53.899225940
409	1.1000730991	3.8192844391	06/15/2017 05:05:54.898600040
410	1.1000673771	3.8193869591	06/15/2017 05:05:55.897983640
411	1.1000750065	3.8194887638	06/15/2017 05:05:56.897360600
412	1.1000714302	3.8195796013	06/15/2017 05:05:57.896751000
413	1.100069046	3.8196792603	06/15/2017 05:05:58.896108400
414	1.1000721455	3.8197798729	06/15/2017 05:05:59.895441700
415	1.1000703573	3.8198800087	06/15/2017 05:06:00.894809080
416	1.1000777483	3.8199796677	06/15/2017 05:06:01.894154380
417	1.1000742912	3.8200759888	06/15/2017 05:06:02.893464920
418	1.1000659466	3.8201642036	06/15/2017 05:06:03.892800420
419	1.1000721455	3.8202702999	06/15/2017 05:06:04.892143740
420	1.1000742912	3.8203673363	06/15/2017 05:06:05.891484900
421	1.1000733376	3.8204667568	06/15/2017 05:06:06.890828060
422	1.1000711918	3.8205654621	06/15/2017 05:06:07.890159760
423	1.1000698805	3.8206660748	06/15/2017 05:06:08.889484540
