Iteration:	Current:	Voltage:	Time:
254	1.1000688076	3.7840619087	06/15/2017 02:14:23.993711220
255	1.100071907	3.7841591835	06/15/2017 02:14:24.993037260
256	1.1000697613	3.7842512131	06/15/2017 02:14:25.992369380
257	1.100069046	3.7843356133	06/15/2017 02:14:26.991690280
258	1.1000695229	3.7844307423	06/15/2017 02:14:27.990992060
259	1.1000710726	3.7845139503	06/15/2017 02:14:28.990364280
260	1.100071907	3.784617424	06/15/2017 02:14:29.989677200
261	1.1000753641	3.7847108841	06/15/2017 02:14:30.988984860
262	1.1000651121	3.7847943306	06/15/2017 02:14:31.988312680
263	1.1000691652	3.7848827839	06/15/2017 02:14:32.987635220
264	1.1000698805	3.7849798203	06/15/2017 02:14:33.986946180
265	1.100063324	3.7850663662	06/15/2017 02:14:34.986268120
266	1.1000692844	3.7851581573	06/15/2017 02:14:35.985618340
267	1.1000699997	3.7852480412	06/15/2017 02:14:36.984933140
268	1.100066781	3.7853312492	06/15/2017 02:14:37.984310140
269	1.1000725031	3.7854287624	06/15/2017 02:14:38.983653880
270	1.1000733376	3.7855157852	06/15/2017 02:14:39.982971280
271	1.1000757217	3.7856137753	06/15/2017 02:14:40.982272900
272	1.1000689268	3.785700798	06/15/2017 02:14:41.981596660
273	1.1000739336	3.7857861519	06/15/2017 02:14:42.980937600
274	1.1000703573	3.785879612	06/15/2017 02:14:43.980280980
275	1.100079298	3.7859742641	06/15/2017 02:14:44.979608100
276	1.1000767946	3.7860591412	06/15/2017 02:14:45.978924360
277	1.1000782251	3.786147356	06/15/2017 02:14:46.978238680
278	1.1000685692	3.7862281799	06/15/2017 02:14:47.977599860
279	1.1000736952	3.786331892	06/15/2017 02:14:48.976941360
280	1.1000709534	3.7864115238	06/15/2017 02:14:49.976245400
281	1.1000670195	3.7864980698	06/15/2017 02:14:50.975564040
282	1.1000665426	3.7865850925	06/15/2017 02:14:51.974909860
283	1.1000670195	3.7866761684	06/15/2017 02:14:52.974198240
284	1.1000677347	3.7867648602	06/15/2017 02:14:53.973488600
285	1.1000730991	3.786850214	06/15/2017 02:14:54.972806340
286	1.1000742912	3.7869386673	06/15/2017 02:14:55.972111980
287	1.1000686884	3.7870285511	06/15/2017 02:14:56.971446980
288	1.1000696421	3.7871096134	06/15/2017 02:14:57.970778340
289	1.1000733376	3.7872033119	06/15/2017 02:14:58.970109460
290	1.1000676155	3.7872848511	06/15/2017 02:14:59.969428340
291	1.100069046	3.7873718739	06/15/2017 02:15:00.968740220
292	1.1000642776	3.7874565125	06/15/2017 02:15:01.968081740
293	1.1000683308	3.7875468731	06/15/2017 02:15:02.967415240
294	1.1000726223	3.7876393795	06/15/2017 02:15:03.966707560
295	1.1000628471	3.7877159119	06/15/2017 02:15:04.966040580
296	1.1000716686	3.7878100872	06/15/2017 02:15:05.965386260
297	1.1000723839	3.78789711	06/15/2017 02:15:06.964735180
298	1.1000736952	3.7879831791	06/15/2017 02:15:07.964024400
299	1.1000730991	3.7880723476	06/15/2017 02:15:08.963342840
300	1.1000736952	3.78815341	06/15/2017 02:15:09.962670300
301	1.1000692844	3.7882430553	06/15/2017 02:15:10.962046240
302	1.100071907	3.7883274555	06/15/2017 02:15:11.961383540
303	1.1000708342	3.7884173393	06/15/2017 02:15:12.960725280
304	1.1000748873	3.7885048389	06/15/2017 02:15:13.960040400
305	1.1000763178	3.7885906696	06/15/2017 02:15:14.959407720
306	1.1000685692	3.7886793613	06/15/2017 02:15:15.958744840
307	1.1000714302	3.7887663841	06/15/2017 02:15:16.958044700
308	1.1000723839	3.7888567448	06/15/2017 02:15:17.957330360
309	1.1000725031	3.7889370918	06/15/2017 02:15:18.956636780
310	1.100070715	3.7890236378	06/15/2017 02:15:19.955960580
311	1.1000709534	3.7891144753	06/15/2017 02:15:20.955252520
312	1.1000751257	3.7892026901	06/15/2017 02:15:21.954583220
313	1.100069046	3.7892897129	06/15/2017 02:15:22.953887280
314	1.1000728607	3.7893784046	06/15/2017 02:15:23.953195560
315	1.1000752449	3.7894663811	06/15/2017 02:15:24.952604540
316	1.1000727415	3.7895464897	06/15/2017 02:15:25.951922080
317	1.1000717878	3.7896389961	06/15/2017 02:15:26.951225740
318	1.1000695229	3.7897238731	06/15/2017 02:15:27.950508120
319	1.1000688076	3.7898051739	06/15/2017 02:15:28.949839000
320	1.100071907	3.7898967266	06/15/2017 02:15:29.949144220
321	1.1000725031	3.7899870872	06/15/2017 02:15:30.948440820
322	1.1000733376	3.7900669575	06/15/2017 02:15:31.947773220
323	1.1000748873	3.7901501656	06/15/2017 02:15:32.947095440
324	1.1000747681	3.7902343273	06/15/2017 02:15:33.946422120
325	1.1000756025	3.7903258801	06/15/2017 02:15:34.945703580
326	1.1000683308	3.790407896	06/15/2017 02:15:35.945026340
327	1.1000704765	3.7904901505	06/15/2017 02:15:36.944350380
328	1.1000635624	3.7905776501	06/15/2017 02:15:37.943662900
329	1.1000663042	3.790664196	06/15/2017 02:15:38.943088240
330	1.1000621319	3.7907521725	06/15/2017 02:15:39.942420160
331	1.100060463	3.7908360958	06/15/2017 02:15:40.941757260
332	1.1000654697	3.7909235954	06/15/2017 02:15:41.941098160
333	1.100066781	3.7910115719	06/15/2017 02:15:42.940435180
334	1.1000730991	3.7910943031	06/15/2017 02:15:43.939758920
335	1.1000686884	3.7911820412	06/15/2017 02:15:44.939067240
336	1.1000720263	3.7912683487	06/15/2017 02:15:45.938400900
337	1.1000711918	3.7913477421	06/15/2017 02:15:46.937722840
338	1.1000638008	3.7914304733	06/15/2017 02:15:47.937038340
339	1.1000651121	3.7915201187	06/15/2017 02:15:48.936369600
340	1.100071907	3.7916049957	06/15/2017 02:15:49.935702880
341	1.1000645161	3.7916855812	06/15/2017 02:15:50.935021420
342	1.10006392	3.7917692661	06/15/2017 02:15:51.934326720
343	1.1000636816	3.7918536663	06/15/2017 02:15:52.933722940
344	1.100070715	3.7919421196	06/15/2017 02:15:53.933048540
345	1.100060463	3.7920176983	06/15/2017 02:15:54.932373360
346	1.1000630856	3.7921016216	06/15/2017 02:15:55.931694040
347	1.1000652313	3.7921845913	06/15/2017 02:15:56.931027800
348	1.1000654697	3.7922737598	06/15/2017 02:15:57.930374920
349	1.1000722647	3.7923605442	06/15/2017 02:15:58.929685840
350	1.1000671387	3.7924387455	06/15/2017 02:15:59.929022980
351	1.100069046	3.7925236225	06/15/2017 02:16:00.928370740
352	1.1000647545	3.79260993	06/15/2017 02:16:01.927727080
353	1.1000664234	3.7926943302	06/15/2017 02:16:02.927055880
354	1.1000659466	3.7927732468	06/15/2017 02:16:03.926430180
355	1.1000697613	3.7928655148	06/15/2017 02:16:04.925754500
356	1.1000701189	3.7929494381	06/15/2017 02:16:05.925064320
357	1.1000653505	3.7930233479	06/15/2017 02:16:06.924444040
358	1.1000702381	3.7931156158	06/15/2017 02:16:07.923831180
359	1.1000670195	3.7931950092	06/15/2017 02:16:08.923152620
360	1.1000699997	3.7932803631	06/15/2017 02:16:09.922478920
361	1.1000659466	3.7933576107	06/15/2017 02:16:10.921824680
362	1.1000694036	3.7934403419	06/15/2017 02:16:11.921169440
363	1.1000648737	3.7935247421	06/15/2017 02:16:12.920484160
364	1.1000715494	3.793610096	06/15/2017 02:16:13.919827320
365	1.1000725031	3.7937009335	06/15/2017 02:16:14.919153700
366	1.1000692844	3.7937834263	06/15/2017 02:16:15.918474300
367	1.1000709534	3.7938640118	06/15/2017 02:16:16.917786680
368	1.1000669003	3.7939429283	06/15/2017 02:16:17.917115960
369	1.1000723839	3.7940304279	06/15/2017 02:16:18.916437860
370	1.1000732183	3.7941191196	06/15/2017 02:16:19.915745900
371	1.1000640392	3.7941884995	06/15/2017 02:16:20.915084880
372	1.100069046	3.7942800522	06/15/2017 02:16:21.914436940
373	1.1000701189	3.7943632603	06/15/2017 02:16:22.913763020
374	1.1000717878	3.7944498062	06/15/2017 02:16:23.913061900
375	1.1000727415	3.794532299	06/15/2017 02:16:24.912414800
376	1.1000714302	3.794614315	06/15/2017 02:16:25.911755000
377	1.1000682116	3.7946996689	06/15/2017 02:16:26.911078480
378	1.1000696421	3.7947802544	06/15/2017 02:16:27.910412160
379	1.1000701189	3.7948608398	06/15/2017 02:16:28.909730120
380	1.1000696421	3.7949461937	06/15/2017 02:16:29.909054860
381	1.1000704765	3.7950341702	06/15/2017 02:16:30.908377900
382	1.100069046	3.795109272	06/15/2017 02:16:31.907706880
383	1.1000679731	3.7951896191	06/15/2017 02:16:32.907020220
384	1.1000726223	3.7952859402	06/15/2017 02:16:33.906328120
385	1.1000733376	3.7953703403	06/15/2017 02:16:34.905672540
386	1.1000701189	3.7954523563	06/15/2017 02:16:35.905050500
387	1.1000658274	3.7955312729	06/15/2017 02:16:36.904382000
388	1.1000664234	3.7956116199	06/15/2017 02:16:37.903695120
389	1.1000666618	3.7956938744	06/15/2017 02:16:38.903054560
390	1.1000738144	3.7957863808	06/15/2017 02:16:39.902407480
391	1.1000742912	3.7958712578	06/15/2017 02:16:40.901737680
392	1.1000665426	3.7959465981	06/15/2017 02:16:41.901072360
393	1.1000663042	3.7960305214	06/15/2017 02:16:42.900406400
394	1.1000702381	3.7961206436	06/15/2017 02:16:43.899733800
395	1.100069046	3.7961940765	06/15/2017 02:16:44.899063600
396	1.1000703573	3.7962832451	06/15/2017 02:16:45.898407840
397	1.1000673771	3.7963583469	06/15/2017 02:16:46.897736760
398	1.1000711918	3.7964437008	06/15/2017 02:16:47.897061820
399	1.1000677347	3.7965302467	06/15/2017 02:16:48.896402320
400	1.100066781	3.7966091633	06/15/2017 02:16:49.895809320
401	1.1000709534	3.796693325	06/15/2017 02:16:50.895124920
402	1.1000725031	3.7967786789	06/15/2017 02:16:51.894435420
403	1.1000699997	3.7968537807	06/15/2017 02:16:52.893772800
404	1.1000738144	3.7969527245	06/15/2017 02:16:53.893086500
405	1.1000740528	3.7970321178	06/15/2017 02:16:54.892397760
406	1.1000745296	3.7971162796	06/15/2017 02:16:55.891712720
407	1.1000692844	3.7971978188	06/15/2017 02:16:56.891029360
408	1.1000698805	3.7972772121	06/15/2017 02:16:57.890342200
409	1.1000747681	3.7973680496	06/15/2017 02:16:58.889650260
410	1.1000708342	3.7974426746	06/15/2017 02:16:59.888987960
411	1.1000691652	3.7975275517	06/15/2017 02:17:00.888311300
412	1.1000711918	3.7976231575	06/15/2017 02:17:01.887615940
413	1.1000728607	3.7977020741	06/15/2017 02:17:02.886927960
414	1.1000705957	3.797785759	06/15/2017 02:17:03.886315800
415	1.1000698805	3.7978663445	06/15/2017 02:17:04.885658760
416	1.1000676155	3.7979490757	06/15/2017 02:17:05.884955440
417	1.1000711918	3.7980306149	06/15/2017 02:17:06.884295360
418	1.1000674963	3.7981214523	06/15/2017 02:17:07.883614760
419	1.1000692844	3.7982025146	06/15/2017 02:17:08.882917240
420	1.1000660658	3.7982861996	06/15/2017 02:17:09.882222120
421	1.1000703573	3.7983670235	06/15/2017 02:17:10.881551460
422	1.1000638008	3.7984485626	06/15/2017 02:17:11.880876700
423	1.1000632048	3.7985341549	06/15/2017 02:17:12.880190860
